lifecount	lifetime	regression	ratio
0	0.0	472	1.0
1	0.05	323	0.684322033898305
2	0.1	263	0.5572033898305084
3	0.15000000000000002	213	0.451271186440678
4	0.2	61	0.1292372881355932
5	0.25	50	0.1059322033898305
6	0.30000000000000004	28	0.059322033898305086
7	0.35000000000000003	22	0.046610169491525424
8	0.4	19	0.04025423728813559
9	0.45	18	0.038135593220338986
10	0.5	16	0.03389830508474576
11	0.55	15	0.03177966101694915
12	0.6000000000000001	13	0.02754237288135593
13	0.65	13	0.02754237288135593
14	0.7000000000000001	9	0.019067796610169493
15	0.75	8	0.01694915254237288
16	0.8	8	0.01694915254237288
17	0.8500000000000001	8	0.01694915254237288
18	0.9	8	0.01694915254237288
19	0.9500000000000001	8	0.01694915254237288
20	1.0	8	0.01694915254237288
21	1.05	8	0.01694915254237288
22	1.1	7	0.014830508474576272
23	1.1500000000000001	6	0.012711864406779662
24	1.2000000000000002	5	0.01059322033898305
25	1.25	4	0.00847457627118644
26	1.3	4	0.00847457627118644
27	1.35	4	0.00847457627118644
28	1.4000000000000001	4	0.00847457627118644
29	1.4500000000000002	4	0.00847457627118644
30	1.5	4	0.00847457627118644
31	1.55	4	0.00847457627118644
32	1.6	4	0.00847457627118644
33	1.6500000000000001	4	0.00847457627118644
34	1.7000000000000002	4	0.00847457627118644
35	1.75	4	0.00847457627118644
36	1.8	4	0.00847457627118644
37	1.85	4	0.00847457627118644
38	1.9000000000000001	4	0.00847457627118644
39	1.9500000000000002	3	0.006355932203389831
40	2.0	3	0.006355932203389831
41	2.0500000000000003	3	0.006355932203389831
42	2.1	3	0.006355932203389831
43	2.15	3	0.006355932203389831
44	2.2	3	0.006355932203389831
45	2.25	3	0.006355932203389831
46	2.3000000000000003	3	0.006355932203389831
47	2.35	2	0.00423728813559322
48	2.4000000000000004	2	0.00423728813559322
49	2.45	2	0.00423728813559322
50	2.5	2	0.00423728813559322
51	2.5500000000000003	2	0.00423728813559322
52	2.6	2	0.00423728813559322
