## Traced by TaniTracer at Sat Nov 11 17:35:47 2023 for 220830-E6_Out.czi
#   total_planes = 9; width = 512; height = 512
#   laplace = 1.800000; min_distance = 1; threshold_abs = 0.014000
#   max_diameter = 10.000000; dup_threshold = 3.000000
#   image_clip_min = 10000.000000; image_clip_max = 12924.857000
## Chased by TaniChaser at Sat Nov 11 17:35:47 2023
#   chase_distance = 3.000000
total_index	plane	index	x	y	diameter	intensity	fit_error	chi_square	distance	life_index	life_total
0	0	0	305.0533611141145	190.42089769244194	3.8348913	13114	0.067304805	0.027186418	0.0	0	2
0	1	121	304.98245356976986	191.2034432888031	4.2207975	12263	0.050228912	0.01621463	0.7857515448468647	1	2
1	0	1	302.1086831241846	482.7955280393362	3.693972	13923	0.005963029	0.0022591474	0.0	0	6
1	1	12	301.67951586842537	480.02537184022367	4.662537	13245	0.007167996	0.002675597	2.803203506864516	1	6
1	2	25	301.4382871091366	479.5415914654732	4.1396146	13147	0.010249399	0.003663334	0.5405874261409872	2	6
1	3	94	301.3210048377514	481.90690307319164	4.8405557	12693	0.0019784183	0.00067985017	2.3682175011575675	3	6
1	4	140	300.9631416015327	484.4109949171543	4.1215367	12027	0.009606398	0.002822795	2.529533960799356	4	6
1	5	13	300.0218383818865	484.46269977092743	3.5111651	12834	0.08456079	0.027769558	0.9427221983278163	5	6
2	0	2	231.6488572359085	237.71109920740128	3.4555523	12515	0.004178086	0.0015746804	0.0	0	5
2	1	33	231.6985905766487	237.73642647266388	3.717639	12266	0.002217267	0.0007660759	0.05581107011035997	1	5
2	2	29	231.178993627429	238.2205822467804	3.6623046	12278	0.01307099	0.0045083836	0.7102026494239417	2	5
2	3	21	231.80973681807518	237.6654557287693	3.6949468	12347	0.054010555	0.01875946	0.8402395036807263	3	5
2	4	512	232.00242403894663	235.96576200798154	3.2427235	11107	0.05164976	0.0127781015	1.7105809275133739	4	5
3	0	3	300.19787260890007	409.43004965782166	3.882255	12815	0.0039878627	0.0015331949	0.0	0	9
3	1	8	299.8824891746044	409.23596964776516	3.8600302	12794	0.016361933	0.006034471	0.37031575841658526	1	9
3	2	162	298.7300907969475	409.90844194591045	3.922418	12171	0.035116367	0.011081708	1.3342567266456455	2	9
3	3	31	299.34099635481834	408.83927369117737	3.8456707	12513	0.02312159	0.00811994	1.2313920405648662	3	9
3	4	0	299.0893174931407	410.0971090644598	3.9984632	13208	0.005854518	0.0024503784	1.2827673505729371	4	9
3	5	10	298.8388819992542	408.6362609267235	4.5945063	12422	0.018077582	0.006556088	1.4821589719479606	5	9
3	6	43	296.43326100707054	410.17610985040665	3.6537728	12146	0.007092978	0.002336005	2.8562470246466822	6	9
3	7	45	297.4620159268379	409.90236999094486	4.422478	12177	0.042987183	0.014102124	1.0645516406467774	7	9
3	8	17	297.0975719690323	411.48688036203384	3.6221395	12080	0.0034144388	0.0011552041	1.6258820727437695	8	9
4	0	4	187.7717321664095	410.07915173470974	3.9135354	12730	0.005353961	0.0020177008	0.0	0	9
4	1	50	187.44231921434402	408.9290005043149	5.4673915	12400	0.0037526353	0.0013192602	1.1963948954117327	1	9
4	2	39	188.13560700416565	409.6496907174587	3.4451814	12528	0.0020853032	0.0007253093	1.0000211711944131	2	9
4	3	104	187.6542445421219	410.3296892940998	4.8039503	12394	0.0016203998	0.0005406076	0.8331313726530354	3	9
4	4	65	185.1708027869463	410.090628772974	3.6021335	11962	0.0033261315	0.0010718626	2.494921418423946	4	9
4	5	42	185.36990621685982	408.6748254299164	3.6385472	12055	0.04452887	0.014591716	1.4297346893799898	5	9
4	6	68	184.9701334387064	410.35683611035347	3.9396598	12094	0.027837206	0.008596139	1.728866161175277	6	9
4	7	251	184.6498720049858	410.85987508296967	3.4918773	11557	0.00027136024	7.8081415e-05	0.5963351355567813	7	9
4	8	63	183.21045376360416	410.3025172352791	3.915485	11993	0.15147918	0.046613764	1.543558435565206	8	9
5	0	5	198.1246282234788	412.46758511662483	3.701623	12535	0.037748866	0.014177149	0.0	0	3
5	1	65	198.3797501027584	412.47322645783424	3.1000462	12293	0.08402143	0.02681122	0.25518424327885664	1	3
5	2	102	197.05673342943192	413.298097461462	3.348415	11862	0.21413533	0.067386	1.5590975885190108	2	3
6	0	6	88.2532528936863	372.3127066195011	3.7029235	12812	0.010519843	0.003819496	0.0	0	9
6	1	18	88.16712792217731	371.9853259753436	3.7225115	12588	0.02085824	0.0074497075	0.33851971417691634	1	9
6	2	8	87.11829029768705	370.204552218318	4.2871647	12884	0.017412473	0.0064405035	2.0666919306605527	2	9
6	3	119	88.32893308997154	370.5428377389908	4.5252805	12388	0.0028117104	0.00091333746	1.257017527326986	3	9
6	4	52	88.14997418224812	372.8419563174248	3.5838373	11921	0.0076055946	0.002452762	2.3060729668321196	4	9
6	5	119	87.56470358371735	371.2410571575165	3.2293234	12091	0.017463015	0.0052609774	1.7045292000137893	5	9
6	6	10	86.2155034840107	371.2957964539528	4.322272	12287	0.014321281	0.0051205456	1.3503100753614985	6	9
6	7	42	86.55107739567757	373.41309091448784	4.030782	11924	0.001683102	0.00054810446	2.143722389397426	7	9
6	8	25	86.26728147268295	372.7883802950382	4.429788	12080	0.0006739689	0.00023334031	0.6861512107119588	8	9
7	0	7	101.42390087246895	330.7570563107729	3.3467984	13522	0.008823047	0.0032852967	0.0	0	1
8	0	8	104.55230352282524	327.12458251416683	4.9325504	12733	0.0075832848	0.0029248374	0.0	0	5
8	1	5	106.11669099330902	327.1209447681904	4.11573	12913	0.08386204	0.032149516	1.5643916999915426	1	5
8	2	66	106.96596142277122	325.710752338171	3.9543812	12173	0.0019638385	0.00067831646	1.6461782868337378	2	5
8	3	265	107.22780245542526	325.11494497954845	4.293636	11906	0.05892902	0.017901022	0.6508049899702051	3	5
8	4	615	108.80976714193821	326.13236129283905	3.1347153	11007	0.07947549	0.019069042	1.880890274291362	4	5
9	0	9	93.1956822425127	334.0946897417307	4.7312636	13350	0.006311127	0.0023529774	0.0	0	3
9	1	16	93.36868640780449	333.66218292713165	3.362661	13044	0.10671317	0.03666223	0.4658246299659493	1	3
9	2	63	93.74716094136238	331.83311937749386	4.0588565	12503	0.010478836	0.0033501317	1.8678106009886206	2	3
10	0	10	465.0391168817878	164.65384769439697	3.8179567	13135	0.0014890434	0.00055986264	0.0	0	4
