lifecount	lifetime	regression	ratio
0	0.0	1520	1.0
1	1.0	985	0.6480263157894737
2	2.0	810	0.5328947368421053
3	3.0	682	0.4486842105263158
4	4.0	401	0.2638157894736842
5	5.0	297	0.19539473684210526
6	6.0	250	0.16447368421052633
7	7.0	213	0.1401315789473684
8	8.0	183	0.12039473684210526
9	9.0	168	0.11052631578947368
10	10.0	156	0.10263157894736842
11	11.0	133	0.0875
12	12.0	117	0.07697368421052632
13	13.0	107	0.07039473684210526
14	14.0	103	0.06776315789473684
15	15.0	92	0.060526315789473685
16	16.0	86	0.056578947368421055
17	17.0	80	0.05263157894736842
18	18.0	74	0.04868421052631579
19	19.0	70	0.046052631578947366
20	20.0	64	0.042105263157894736
21	21.0	59	0.03881578947368421
22	22.0	54	0.035526315789473684
23	23.0	51	0.03355263157894737
24	24.0	43	0.028289473684210528
25	25.0	40	0.02631578947368421
26	26.0	36	0.02368421052631579
27	27.0	35	0.023026315789473683
28	28.0	30	0.019736842105263157
29	29.0	30	0.019736842105263157
30	30.0	29	0.019078947368421053
31	31.0	27	0.017763157894736842
32	32.0	26	0.017105263157894738
33	33.0	22	0.014473684210526316
34	34.0	19	0.0125
35	35.0	17	0.01118421052631579
36	36.0	15	0.009868421052631578
37	37.0	15	0.009868421052631578
38	38.0	13	0.008552631578947369
39	39.0	13	0.008552631578947369
40	40.0	12	0.007894736842105263
41	41.0	9	0.0059210526315789476
42	42.0	8	0.005263157894736842
43	43.0	8	0.005263157894736842
44	44.0	8	0.005263157894736842
45	45.0	8	0.005263157894736842
46	46.0	7	0.004605263157894736
47	47.0	5	0.003289473684210526
48	48.0	5	0.003289473684210526
49	49.0	4	0.002631578947368421
50	50.0	4	0.002631578947368421
51	51.0	2	0.0013157894736842105
52	52.0	2	0.0013157894736842105
53	53.0	2	0.0013157894736842105
54	54.0	2	0.0013157894736842105
55	55.0	2	0.0013157894736842105
56	56.0	2	0.0013157894736842105
57	57.0	2	0.0013157894736842105
58	58.0	1	0.0006578947368421052
59	59.0	1	0.0006578947368421052
60	60.0	1	0.0006578947368421052
61	61.0	1	0.0006578947368421052
